id,calcium,calory,carbohydrate,cholesterol,code,copper,fat,fiber_dietary,health_light,iodine,iron,is_liquid,kalium,lactoflavin,magnesium,manganese,name,natrium,niacin,protein,selenium,thiamine,thumb_image_url,vitamin_a,vitamin_c,vitamin_e,weight,zinc,category
3,31,349,71.5,,xiaomaifen_biaozhunfen,0.4,1.5,2.1,1,2.9,3.5,FALSE,190,0.1,50,1.6,Ð¡Âó·Û(±ê×¼·Û),3.1,2,11.2,5.4,0.3,http://s.boohee.cn/house/new_food/mid/1611f5826bd94c149e490076efa9afc8.jpg,,,1.8,100,1.6,1
8,17,348,74.9,,guamian_junzhi,0.4,0.6,0.7,1,,3,FALSE,129,0,49,0.9,¹ÒÃæ,184.5,2.5,10.3,11.8,0.2,http://s.boohee.cn/house/new_food/mid/d30b6d05ef7a4c89978d9d75a42d1d88.jpg,,,1,100,0.9,1
11,26,348,74.5,,guamian_jingzhilongxumian,0.3,0.5,0.2,2,,2.3,FALSE,109,0,48,0.8,¹ÒÃæ(¾«ÖÆÁúÐëÃæ),292.8,2.5,11.2,14.3,0.2,http://s.boohee.cn/house/new_food/mid/3f235f1ab35d4318ac7524ef39fc31f5.jpg,,,,100,0.9,1
12,11,286,61.1,,miantiao_junzhi,0.2,0.7,0.8,1,,3.6,FALSE,135,0.1,39,0.9,ÃæÌõ£¨Éú£©,28,1.4,8.3,11.7,0.2,http://s.boohee.cn/house/new_food/mid/8c83f12d21ef4babbda3c22feca67c47.jpg,,,0.6,100,1.4,1
13,13,283,58,,miantiao_biaozhunfen_qiemian,0.2,1.6,1.5,1,,2.6,FALSE,161,0.1,61,1.4,ÃæÌõ(±ê×¼·Û£¬ÇÐÃæ),3.4,3.1,8.5,0.4,0.4,http://s.boohee.cn/house/food_mid/mid_photo_201022413.jpg,,,0.5,100,1.1,1
16,4,110,24.2,,miantiao_fuqiangfen_zhu,0,0.2,0.1,1,,0.5,FALSE,15,0,10,0.2,ÃæÌõ(Öó),26.9,1.8,2.7,0.2,,http://s.boohee.cn/house/food_mid/mid_photo_20152415513316.jpg,,,,100,0.2,1
17,8,355,77.5,,miantiao_ganqiemian,0.2,0.1,0.2,1,,9.6,FALSE,100,0.1,42,0.7,ÃæÌõ(¸ÉÇÐÃæ),60.9,2.7,11,7.8,0.3,http://s.boohee.cn/house/food_mid/mid_photo_201022517.jpg,,,,100,1.5,1
18,17,436,64.7,,miantiao_xiarongmian,0.5,15.1,3.6,2,,2,FALSE,101,0,24,,ÃæÌõ(ÏºÈØÃæ),304.2,2.8,8.5,9.4,,http://s.boohee.cn/house/food_mid/mid_photo_20103221549118.jpg,,,1.2,100,,1
19,14,351,75.4,,tongxinmian,0.2,0.1,0.4,1,,2.6,FALSE,209,0,58,0.7,Í¨ÐÄÃæ,35,1,11.9,5.8,0.1,http://s.boohee.cn/house/food_mid/m_1160655599421.jpg,,,,100,1.6,1
20,19,214,44.1,,huajuan,0.1,1,1.5,1,,0.4,FALSE,83,0,12,,»¨¾í,95,1.1,6.4,6.2,,http://s.boohee.cn/house/new_food/mid/fa2e00e2efe0498d984141ffe069e910.JPG,,,,100,,1
21,2,278,60.2,,kongguobing,0.1,0.2,0.7,1,,5.8,FALSE,138,,30,0.8,¿Õ¹ø±ý,243.2,0,8.6,24.2,0.1,http://s.boohee.cn/house/food_mid/m_kongguomomo.jpg,,,0.1,100,1.7,1
22,20,259,51,,laobing_biaozhunfen,0.2,2.3,1.9,1,,2.4,FALSE,141,0,51,1.2,ÀÓ±ý,149.3,,7.5,7.5,0,http://s.boohee.cn/house/new_food/mid/b2fe364fba02454e89153207607ae6f9.jpg,,,1,100,0.9,1
23,38,223,45.7,,mantou_junzhi,0.1,1.1,1.3,2,,1.8,FALSE,138,0.1,30,0.8,ÂøÍ·,165.1,,7,8.5,0,http://s.boohee.cn/house/upload_food/2017/11/3/mid_photo_url_233315ed65cdcad2e1d77eb71ab7a27e.jpg,,,0.7,100,0.7,1
